Review,Liked
আমি আছি কিন্তু ভাল নেই,negative
তিনি সবার সেবা পান,positive
তার সেবা করতে কেউ চায় না,negative
তোমার সেবা করতে পারব না,negative
তার মনে অনেক সুখ,positive
তার কিছু নেই,negative
আমি তাকে ভয় পাই,negative
তার ভয় পাওয়া লাগবে,positive
আমি কাজটি করতে চাই,positive
আমি তার ভাল চাই,positive
আমি কারো ভাল  চাই না,negative
সুখ সবাই পায় না,negative
সুখ সবাই চায়,positive
সুখ পাওয়া যায় না কেনো,negative
সবাই কিন্তু তাকে অনেক পছন্দ করে,positive
কিন্তু তিনি ভাল,positive
আমার রাগ কিন্তু অনেক বেশি,negative
সে আমাকে রাগ করতে দেখতে চায়,positive
রাগ করা কারো সাথে কথা বলা যায় না,negative
তিনি ভালবাসতে জানেন,positive
আমি কাউকে মারতে চাই না,positive
আমি কাউকে মারতে চাই না ভালবাসতে চাই,positive
সে আমাকে মারতে চায়,negative
ভাল কাজ দেখতে চাই,positive
সবাই সুখ চায়,positive
আমি ভাল থাকতে চাই ভয় না,negative
আমি তাকে মারতে চাই,negative
সুখ আমার জন্য না,negative
ব্যস্ত মানুষ থেকে একটু মুক্তি পাওয়া যায়,positive
ব্যস্ত সবাই,negative
সে কিন্তু অনেক ভাল কাজ করে,positive
জায়গাটি ভাল কিন্তু অনেক ভয় পাওয়া যায়,negative
আমার কিছু নাই কিন্তু অনেক ভালবাসা আছে,positive
আমার কিছু নাই কিন্তু ভালবাসা আছে,positive
সুখ নাই কষ্ট পাওয়া কেনো,negative
নাই বলে কিছু নাই কাজ করব,positive
কেউ নাই ভয় করছে,negative
ভালবাসা চাই,positive
সত্য ভালবাসা পাওয়া কষ্টের,negative
ভালবাসা দিয়ে সব পাওয়া যায় না কেনো,negative
ভালবাসা সুন্দর কিন্তু কখনো কষ্টের,negative
একটু ভালবাসা অনেক কিছু বলে দিতে পারে,positive
একটু ভালবাসা দিয়ে অনেক কিছু বলা যায়,positive
সে আমার জন্য সব করবে,positive
সে কখনো আমাকে কষ্ট দিবে না,positive
আমি কখনো সাগর দেখি নাই,positive
সে কখনো সাগর দেখি নাই,negative
সে কখনো আমাকে কষ্ট দিবে না,positive
সে কখনো আমার কথা মতো কাজ করে না,negative
সে আমার জন্য সব কিছু করছে,positive
সে আমার জন্য সব কিছু করবে,positive
সে আমার জন্য কিছু করছে না,negative
সে আমার জন্য সব করছে,positive
আমার জন্য কেউ কিছু করছে না,negative
আমার মনে তার জন্য কোনো রাগ নাই ভালবাসা আছে,positive
সে আমাকে একটু কষ্ট দিতে চায় না,positive
আমি তার উপর একটু রাগ করে আছি,negative
আমার একটু ভয় করছে,negative
তোমার যেতে ভয় করবে,negative
কাজটি করতে ভয় করছে,negative
ভালবাসা কষ্টের কিন্তু সুখ পাওয়া যায়,positive
ভালবাসা কষ্টের,negative
কষ্টের কিছু হয়নি,positive
কষ্টের শেষ কোথায়,negative
কষ্টের কিছু হয়নি কিন্তু সে চাইলে কষ্ট দিতে পারে,positive
আমি তাকে সুখে দেখি,positive
আমি তাকে সুখে দেখি দেখতে চাই,positive
কখনো তোমাকে কষ্টের মধ্যে দেখি নাই,positive
কখনো তোমাকে কষ্টের মধ্যে দেখি নাই দেখতে চাই না,positive
তোমাকে আমি দেখি নাই কেনো,positive
দেখি তুমি কি করতে যাবে,negative
আমি সব কিছু দেখি না,negative
আমার যেতে হবে,negative
আমাকে কোথায় নিয়ে যেতে চায়,positive
সে আমাকে কোথায় নিয়ে যেতে চায়,negative
দেখি কি করতে পারি,positive
কখনো যেতে পারি নাই,positive
কেনো ভয় করছে,negative
আদর করছে,positive
কোথায় কি কোনো সুখ আছে,negative
কোথায় সুখ পাওয়া যায়,positive
কোথায় ভালবাসা পাওয়া যায়,positive
কোথায় কোনো কষ্ট নেই,positive
ভালবাসা শেষ বলে কিছু নেই,positive
সত্য কষ্ট,negative
সত্য বলে কোনো খারাপ করা হয় নাই,negative
সত্য চাই,positive
আমার সত্য কথা বলা পছন্দ,positive
আমার সত্য কথা বলা মানুষ পছন্দ,positive
কোনো মানুষ নেই,negative
মন থেকে ভালবাসা দিবে,positive
মন থেকে মুক্তি দিবে না,negative
মন থেকে মুক্তি নাই কখনো,negative
কেনো ভয় পান,negative
কোনো কাজ করতে চাই,positive
ভালবাসতে চাই কেনো,positive
কেনো ভালবাসতে চাই,positive
ভালবাসা দিয়ে সব কিছু পাওয়া যায়,positive
ভালবাসা দিয়ে সব পাওয়া যায়,positive
আদর চাই,positive
তোমার আদর লাগবে না,negative
ভালবাসা দিয়ে সব পাওয়া যায় না,negative
ভালবাসা দিয়ে কেনো সব পাওয়া যায় না,negative
সব আদর ভাল না,negative
সব আদর ভাল না খারাপ আছে,negative
মানুষ সব কিছু করতে পারে,positive
মানুষ সব করতে পারে না,negative
মানুষ সব করতে পারে,positive
মানুষ সব করতে পারে না কেনো,negative
একটু কথা বলে শেষ দিতে পারব না কেনো,negative
আমাকে ভালবাসা দিয়ে যেতে হবে,positive
মানুষ কষ্টের শেষ দেখতে চায়,positive
আমি যেতে চাই,positive
কষ্টের শেষ দেখে যেতে হবে,positive
আমাকে নিয়ে যেতে হবে,negative
কষ্টের শেষ বলে কিছু নেই,negative
সাগর দেখতে সুন্দর,positive
সে আমাকে আদর দিয়ে যায়,positive
সবার আদর পাওয়া কষ্টের,negative
সাগর দেখতে অনেক সুন্দর,positive
সাগর দেখতে সুন্দর,positive
আমি সাগর দেখতে যেতে চাই না,negative
তুমি নাই কিছু ভাল লাগে না,positive
তুমি নাই কিছু ভাল লাগে না সুখ পাওয়া যায় না,negative
সে সাথে আছে কাজটি ভাল হবে,positive
তিনি ভালবাসতে ভয় পান,negative
তিনি কাজ করে মজা পান,positive
সে মজা করতে ভয় পায়,negative
আমার সাথে মজা করবে না,negative
সে আমার সাথে মজা করতে পছন্দ করে,positive
আমার মজা পছন্দ,positive
আমার মজা পছন্দ না,negative
তিনি ভালবাসতে ভয় পান,negative
তাকে আমি ভূতের মতো ভয় পাই,negative
আমি কেনো তাকে ভূতের মতো ভয় পাই,negative
আমি তাকে ভূতের মতো ভয় পাই,negative
জায়গাটি ভূতের মতো ভয় পাই কিন্তু তাকে অনেক ভাল লাগে,positive
আমি জায়গাটি ভূতের মতো ভয় পাই কিন্তু ভাল লাগে,positive
জায়গাটি ভূতের মতো ভয় পাই কিন্তু আমি থাকতে চাই,positive
তার ভালবাসা দেখে ভাল লাগে,positive
তাকে আদর করছে,positive
আমি জায়গাটি দেখে যেতে চাই,positive
তাকে দেখে যেতে পারি নাই,negative
তোমাকে দেখে আমার রাগ করছে,negative
জায়গাটি দেখে ভয় করে,negative
আমার কষ্টের শেষ বলে কিছু নাই,negative
কারো জন্য কিছু করতে চাই,positive
ভাল লাগে কারো জন্য কিছু করতে,positive
কারো জন্য চিন্তা করতে ভয় করে,negative
তার জন্য কাজটি ভাল হয়েছে,positive
কাজটি ভাল হয়েছে,positive
তোমার জন্য সে বিরক্ত হয়েছে,negative
সে বিরক্ত হয়েছে,negative
তার মনে ভয় হয়েছে,negative
আমি সুখে থাকতে চাই,positive
সবাই সুখে থাকতে পারে না,negative
আমার সুখে তোমার কেনো রাগ হয়,negative
সুখে থাকতে ভয় করে,negative
কাউকে নিয়ে চিন্তা করতে ভাল লাগে,positive
কাউকে নিয়ে খারাপ চিন্তা করা ভাল না,negative
কাউকে কিছু বলা যাবে না,negative
কাউকে নিয়ে চিন্তা করতে ভয় পাই,negative
তোমার সাথে কথা আছে,positive
সে খারাপ কথা চিন্তা করে,negative
তার কথা চিন্তা করে ভাল লাগে,positive
চিন্তা করা ভাল,positive
সে আমাকে বিরক্ত করে না,positive
তোমাকে বিরক্ত করতে মজা লাগে,positive
তাকে কিছু নিয়ে বিরক্ত করতে ভয় লাগে,negative
সাগর দেখতে ভয় পাই,negative
সাগর দেখতে ভাল লাগে,positive
সবাই তাকে অনেক ভয় পায়,negative
সবাই সুখ পায়,positive
আমি তাকে ভয় পাই,negative
সে মজা পায়,positive
সে কাজটি করে মজা পায়,positive
আমার সাথে কথা বলে তার রাগ পায়,negative
তোমাকে ভয় লাগে,negative
আমি তার সাথে থাকতে চাই,positive
আমি কেনো তার সাথে বেশি থাকতে পারি না,negative
সে আমার সাথে বেশি থাকতে চায়,positive
আমি তার সাথে একদম থাকতে পারি না,negative
আমার মজা করা অনেক পছন্দ,positive
সে মজা করা পছন্দ করে না তার সাথে করা যাবে না,negative
তাকে আমি বেশি ভালবাসা দিতে পারি,positive
আমি কাজটি করতে পারি,positive
তাকে ভূতের ভয় দিয়ে থাকতে বলা হয়েছে,negative
তোমাকে দিয়ে কাজটি হবে,positive
বেশি ভালবাসতে চাই,positive
বেশি ভালবাসতে ভয় হয়,negative
আমাকে ভালবাসতে না করা হয়েছে কেনো,negative
ভালবাসা সব পারে,positive
ভালবাসা সুখ নিয়ে যেতে পারে,negative
তিনি তাকে চান,negative
তোমার ভয় হবে,negative
সবার ভাল লাগে,positive
সবার ভাল লাগে নাই,negative
কেনো সবার ভাল লাগে নাই,negative
সবার মধ্যে তার বলা কথা ভাল লাগে,positive
সবার মধ্যে তার বলা কথা ভাল লাগে না,negative
তাকে বলা হয়েছে,positive
তার মধ্যে খারাপ ভয় আছে,negative
তুমি সবার মধ্যে কেনো,negative
খারাপ কাজ করে মজা পাওয়া যায়,positive
তাকে ভয় দিতে পারব,negative
তাকে সুখ দিতে পারব,positive
তাকে সুখ দিতে পারব না,negative
তাকে আমি মজা দিতে পারব,positive
কেউ আমাকে নিয়ে যেতে চায়,positive
কেউ কষ্ট পায় নাই,positive
তিনি ভালবাসেন কিন্তু ভয় পান,negative
তিনি ভালবাসেন বলে ভালবাসা দিতে চান,positive
তোমার অনেক কষ্ট হয়েছে,negative
কাজটি পারি কিন্তু ভয় লাগে,negative
মন থেকে মুক্তি দিবে,negative
আমাকে তোমার মন দিবে,positive
তুমি তাকে ভয় দিবে,negative
তোমার মন থেকে মুক্তি চাই না,positive
তোমাকে মন থেকে মুক্তি দিতে পারব না,positive
তোমাকে ভালবাসা দিতে পারব,positive
তাকে দেখতে ভাল লাগে নাই,negative
তাকে কিছু দিতে পারব না,negative
ভালবাসা অনেক সুন্দর,positive
সে সুন্দর না,negative
কেনো আমি সুন্দর না,negative
আমি আছি ভয় পাওয়া যাবে না,negative
আমি আছি তোমার সাথে,positive
তোমার উপর কাজটি হয়েছে,positive
তার উপর রাগ করা যায় না,positive
ভূতের উপর ভয়,negative
তার উপর কেউ নাই কাজটি হবে,positive
তোমার সব সুন্দর,positive
তুমি সুন্দর,positive
তুমি যাবে আমার সাথে,positive
জায়গাটি ভাল না,negative
জায়গাটি একদম ভাল না,negative
তার ভালবাসা নিয়ে থাকতে চাই,positive
তাকে নিয়ে থাকতে চাই,positive
আমার সব লাগবে,positive
তার কিছু লাগবে না,negative
তার ভয় লাগবে,negative
তিনি সব জানেন কেনো,negative
তিনি সব জানেন,positive
সে মারতে চায়,positive
সে আমাকে মারতে চায়,negative
সে আমার একদম সেবা করে না,negative
তার সেবা করা লাগবে,positive
আমি তাকে মারতে চাই না,negative
আমার কেনো কিছু নেই,negative
তার কিছু নেই সে সব চায়,positive
তার মনে অনেক রাগ,negative
মনে অনেক কষ্ট,negative
মনে মনে সে তাকে চায়,positive
একদম ভাল কাজ করা হয়েছে,positive
কাজটি একদম শেষ করা লাগবে,positive
সবাই আমাকে ভাল বলে,positive
সে বিরক্ত হয় না,positive
তার সাথে কথা বলা যাবে,positive
সে যাবে না,negative
সে তাকে ভালবাসা দিয়ে যাবে,positive
তার মনে কারো প্রতি কোনো দয়া নাই,negative
নিষ্ঠুর হওয়া ঠিক না,positive
দয়া মায়া থাকা ভালো,positive
তুমি তার প্রতি দয়া দেখালে না কেনো,negative
দয়া দেখানোর সাথে ভয় পাওয়ার কি সম্পর্ক,negative
গরিব লোকদের দয়া করো,positive
দয়া মায়া করা উচিৎ,positive
আমি তাকে শ্রদ্ধার চোখে দেখি,positive
তার মনে কোনো মায়া নেই,negative
তিনি সবাইকে মায়া করেন,positive
তোমার মনে কি কোনো মায়া দয়া নাই,negative
কারো প্রতি মায়া দেখাতে ভয় হয় যদি কষ্ট পাই,negative
আমি তার ভালো চাই,positive
সে ভালো মন্দ বুঝে না,negative
কেউ আমার ভালো চায় না,negative
কোনটা ভালো কোনটা খারাপ আমি বুঝি না,negative
কাজটি ঠিক করে করো,positive
তুমি মন দিয়ে কাজ করো না,negative
তুমি সব কিছু খুব মন দিয়ে করো,positive
মন দিয়ে কাজ করো নয়তো সবাই রাগ করবে,negative
তাকে এতো ভয় করো কেনো,negative
তোমার উপদেশ সবসময় ঠিক হ, positive
ঠিক মত কাজ করো,positive
তার কোনো কাজ ঠিক হয় না,negative
তুমি কি কখনো ঠিক ভাবে কাজ করতে পারবে না,negative
কাজটি ঠিক করে করো নয়তো ভাল হবে না,negative
নিষ্ঠুর হইয়ো না ভালবাসা দিয়ে চিন্তা করো,positive
দুনিয়া অনেক নিষ্ঠুর,negative
দেখবো সে কতোটুক নিষ্ঠুর হইতে পারে,positive
তুমি অনেক বেশি নিষ্ঠুর,negative
তার নিষ্ঠুর স্বভাব আমার ভয় লাগে,negative
তার চোখে অনেক স্বপ্ন,positive
তোমার কথায় চোখে পানি চলে এসেছে,negative
সবাই তাকে সম্মানের চোখে দেখে,positive
চোখে এতো রাগ,negative
তোমার চোখে ভয় দেখতে পারছি,negative
ভালো কর্ম করলে সবাই শ্রদ্ধার নজরে দেখবে,positive
সে শ্রদ্ধার যোগ্য না,negative
সবাই আমার সাথে শ্রদ্ধার সাথে কথা বলে,positive
আমার সাথে শ্রদ্ধার সাথে কথা বলবে নয়তো ভাল হবে না,negative
তাকে দেখলে ভয় লাগে শ্রদ্ধার নজরে কি করে দেখবো,negative
ভালবাসা হওয়া খুব স্বাভাবিক ব্যাপার,positive
তার বিয়ে হওয়া নিয়ে আমি খুব আনন্দিত,positive
বিয়ে হওয়া নিয়ে সে খুশি না,negative
তার রাগ হওয়া আমি বুঝলাম না,negative
তার সাথে দেখা হওয়া আর ভূতের ভয় হওয়া সব একি কথা,negative
গরিব লোকদের উপর দয়া করো তোমার ভালো লাগবে,positive
গরিব লোকদের অনেক কষ্ট,negative
ভালো লাগে যখন গরিব লোকদের সাহায্য করি,positive
গরিব লোকদের অধিকার দাও না কেনো,negative
গরিব লোকেরা স্বপ্ন দেখতে ভয় পায়,negative
ভালবাসা দেখালে সবাই খুশি হয়,positive
তাকে দেখালে তোমার কাজ ভালো হবে,positive
তাকে দেখালে সে খুশি হবে না,negative
তাকে তোমার কাজ দেখালে সে খুশি হবে,positive
ভুত দেখালে যে কেউ ভয় পাবে,negative
সবার উপর দয়া করো,positive
তার প্রতি আমার অনেক ভালবাসা,positive
তার প্রতি আমি অনেক আগ্রহী,positive
তার কাজের প্রতি আমি খুশি,positive
তার প্রতি আমার সবসময় ভয় কাজ করে,negative
তার উপর খুব রাগ লাগছে,negative
খুব ভয় করছে,negative
তার মনে খুব কষ্ট,negative
কতোটুক ভালবাসা দিতে পারবে আমাকে,positive
কতোটুক খুশি আমি সেইটা বলতে পারবো না,positive
সে কতোটুক কষ্টে আছে তা আমরা জানি না,negative
তোমার কাজে সে কতোটুক রেগে আছে তুমি কি সেইটা জানো,negative
আমি তাকে কতোটুক ভয় পাই তোমার সেইটা জানা নাই,negative
সে সবসময় সম্মানের সাথে কথা বলে,positive
তুমি কি পরিমান সম্মানের কাজ করছো তা তোমার জানা নাই,positive
সে বড়দের সাথে সম্মানের সাথে কথা বলে না,negative
সে মোটেও সম্মানের কাজ করে নাই,negative
সম্মানের কাজ করতে কেউ কি ভয় পায়,negative
বিয়ে একটা সুন্দর সম্পর্ক তৈরি করে,positive
বিয়ে করে ফেলো,positive
বিয়ে করতে তোমার সমস্যা কোথায়,negative
বিয়ে করতে সে ভয় পায়,negative
তার কথায় আমার খুব ভালো লাগে,positive
কথায় না কাজ করে দেখাবো,positive
তার কথায় সব কাজ হবে,positive
তার কথায় অনেক রাগ হচ্ছে,negative
তুমি তার কথায় ভয় কেনো পাচ্ছো,negative
ভালবাসার সাহায্য নিয়ে সব জয় করা সম্ভব,positive
তার সাহায্য নিয়ে কাজ করতে হবে,positive
তোমার সাহায্য ছাড়া আমি কাজ করতে পারবো না,negative
আমি কারো সাহায্য নিবো না,negative
তার সাহায্য চাইতে আমার ভয় হচ্ছে,negative
তুমি তার ভালবাসা পাচ্ছো,positive
তুমি অনেক আগ্রহী কাজ করতে পাচ্ছো,positive
কষ্ট পাচ্ছো,negative
তুমি সবাইকে তোমার সাথে পাচ্ছো,positive
তুমি ভালো কাজ পাচ্ছো তাও করছো না,negative
একটা কথা বলতে চাই,positive
একটা দুঃখের খবর আছে,negative
একটা ভালো খবর আছে,positive
একটা ছোট কথায় রাগ করার কি আছে,negative
একটা কথা বলতে চাই কিন্তু ভয় হচ্ছে,negative
তাকে বলতে ইচ্ছা করছে তাকে কতোটা ভালবাসি,positive
তোমাকে কিছু জিনিস বলতে চাই,positive
কেউ আমাকে কিছু বলতে দিচ্ছে না,negative
আমাকে কথা বলতে দাও,negative
তোমাকে বলতে ভয় হচ্ছে,negative
তোমার ভালবাসা আমি এখন বুঝলাম,positive
আমি এতো দিনে বুঝলাম আমাকে কি করতে হবে,positive
তার দুঃখ আমি বুঝলাম না,negative
সুখ কি তা আমি বুঝলাম,positive
ভয় কি বুঝলাম একা থাকতে গিয়ে,negative
ভালো মন্দ বুঝে কাজ করলে সবার ভালবাসা পাবে,positive
মন্দ নয় ভালো কাজ করতে চাই,positive
ভালো কাজ করো মন্দ নয়,positive
মন্দ কাজ করে কতো দিন বেঁচে থাকবা,negative
মন্দ কাজ করতে কি তোমার ভয় করে না,negative
ভালো কর্ম করো সবাই ভালবাসবে,positive
খারাপ কর্ম করা ঠিক না,negative
ভালো কর্ম করা উচিৎ,positive
খারাপ কর্ম করে কেউ বাঁচতে পারবে না,negative
ভালো কাজ কর্ম মাঝে মাঝে কারো খারাপ করতে পারে,negative
আমার সম্পর্ক তার সাথে ভালো না,negative
সে তার সম্পর্ক নিয়ে অনেক সুখি,positive
তার সাথে আমার সম্পর্ক ভাল যাচ্ছে না,negative
নতুন সম্পর্ক নিয়ে সবাই আগ্রহী থাকে,positive
তার দুঃখ দেখলে আমার অনেক খারাপ লাগে,positive
তার দুঃখ সরাতে হলে যা লাগে আমি সব করবো,positive
আমার মনে কোনো দুঃখ নাই,positive
আমার দুঃখ কেউ বুঝে না,negative
তার কাছে যেতে ভয় হয় যদি দুঃখ পাই,negative
তাও তাকে ভালোবেসে যাবো,positive
তাও কাজটি করতে চাই,positive
তাও কষ্ট করবে তুমি,negative
তাও তুমি ভালো থাকো,positive
তুমি সাথে আছো তাও ভয় করছে,negative
সে তোমাকে ভালবাসা দিচ্ছে নিতে থাকো,positive
তোমার কথায় কাজ দিচ্ছে,positive
সে তোমার হয়ে কাজটি করে দিচ্ছে,positive
সে আমাকে রাগিয়ে দিচ্ছে,negative
তার কাজ আমাকে ভয় পাইয়ে দিচ্ছে,negative
ভালোবেসে ভালবাসার মজা পেতে চাই,positive
ভালোবেসে সে শুধু কষ্ট পেলো,negative
তাকে ভালোবেসে তুমি সুখ খুঁজে পেয়েছো,positive
তাকে ভালোবেসে তুমি কি কিছু পেয়েছো,negative
ভালোবেসে ভয় পাওয়ার কিছু নাই,negative
ছোটদের সবাই ভালবাসে,positive
ছোট ছোট কাজ করতে ভালো লাগে,positive
আমার কপালে ছোট ছোট খুশি থাকে না,negative
ছোট ছোট কাজ অনেক আনন্দ দিতে পারে,positive
তুমি শুধু শুধু ছোট ছোট ব্যাপার নিয়ে ভয় পাও,negative
আমি তোমার ব্যাপার নিয়ে আগ্রহী,positive
আমি তোমার ব্যাপার নিয়ে আগ্রহী না,negative
কাজটি করতে আমি আগ্রহী,positive
আগ্রহী না হলে কোনো কাজ ভালো হবে কিভাবে,negative
সব ব্যাপার নিয়ে আগ্রহী হওয়া ভালো না,negative
আমি তাকে নিয়ে অনেক চিন্তা করি,positive
তার হয়ে কাজ করি আরো করতে চাই,positive
আমি অনেক খারাপ কাজ করি,negative
তোমার চিন্তা করি সেইটা কেনো বুঝো না,negative
তাকে আমি অনেক ভয় করি,negative
স্বপ্ন দেখতে ভালবাসি,positive
আমি কোনো স্বপ্ন দেখি না,negative
আমার স্বপ্ন সত্যি হয়েছে,positive
আমি কেনো আমার স্বপ্ন পূরণ করতে পারবো না,negative
তার কাছে গিয়ে আমি সুখ খুঁজে পাবো,positive
আমাকে তার কাছে গিয়ে দেখতে হবে,positive
আমি গিয়ে দেখতে পারবো না,negative
তুমি গিয়ে নিয়ে আসো সে খুশি হবে,positive
তোমার এতো ভালবাসা আমাকে পাগল করে দিচ্ছে,positive
এতো কাজ আমি করতে পারবো না,negative
আমার এতো খুশি হচ্ছে আমি বলে বুঝাতে পারবো না,positive
ভুত দেখে ভয় পাচ্ছো কেনো আমি আছি সাথে,positive
আমি ভুত দেখতে চাই,positive
ভুত দেখে ভয় পাই,negative
আমি ভুত ভয় পাই না,positive
আমি ভুত ভয় পাই না আমাকে ভয় দেখানোর চেষ্টা করবে না,negative
ভালবাসার মানুষ পাওয়া কষ্টের,negative
আমি আমার ভালবাসার মানুষ খুঁজে পেয়েছি,positive
তুমি তোমার ভালবাসার মানুষকে কষ্ট দিচ্ছো কেনো,negative
ভালবাসার পিছনে ছুটতে চাই না ভয় হয়,negative
তোমাকে আরো বেশি ভালবাসি,positive
তোমার আরো কষ্ট হবে,negative
আমি আরো বেশি সুখ চাই,positive
আমার তার উপর আরো রাগ হচ্ছে,negative
আমার আরো ভয় হচ্ছে,negative
আমি তাকে নিয়ে বাঁচতে চাই,positive
আমি তার সাথে সুখে বাঁচতে চাই,positive
আমি বাঁচতে চাই না,negative
তুমি এখন বাঁচতে পারবে,positive
বাঁচতে ভয় হয়,negative
আমাকে আরো বেশি ভালবাসবে,positive
সে আমাকে ভালবাসবে না,negative
সে তোমাকে ভালবাসবে,positive
তুমি বলেছো আমাকে কষ্ট দিবে না ভালবাসবে,negative
ভালবাসবে বলে কষ্ট পাইতে পারবো না,negative
তুমি আমাকে অনেক ভালবাসা দিচ্ছো,positive
তুমি আমাকে অনেক কিছু দিচ্ছো,positive
তুমি আমাকে কষ্ট দিচ্ছো,negative
তুমি আমাকে কোনো কষ্ট দিচ্ছো না,positive
ভয় দিচ্ছো কেনো,negative
ভালবাসা হলে বুঝবে,positive
কষ্ট হলে খারাপ লাগে,negative
তুমি খুশি হলে ভাল লাগে,positive
ভয় হলে আমাকে বলবে,negative
তুমি তাকে পেয়েছো,positive
তুমি অনেক কিছু পেয়েছো,positive
তুমি অনেক কষ্ট পেয়েছো,negative
তুমি অনেক ভয় পেয়েছো,negative
রেগে গিয়ে না ভালবাসা দিয়ে বুঝাও,positive
রেগে গেলে তোমাকে কেমন দেখায় দেখবো,positive
রেগে গিয়ে তুমি সবাইকে কষ্ট দাও,negative
সে রেগে গিয়ে কিছু করে না,positive
রেগে গেলে তোমাকে ভয়ংকর লাগে,negative
তার কপালে অনেকের ভালবাসা আছে,positive
কি আছে তার কপালে,positive
তোমার কপালে সুখ আছে,positive
আমার কপালে সুখ সহ্য হয় না কেনো,negative
তোমার কপালে খারাপ আছে সাবধানে থাকো,negative
অনেকের দোয়া পাবে,positive
অনেকের কাছে ক্ষমা চাইতে হবে,negative
তুমি অনেকের খুশির কারণ,positive
অনেকের মনে কষ্ট দিয়েছো,negative
সে অনেকের ভয়ের কারণ,negative
তাকে সবসময় সুন্দর দেখায়,positive
তোমাকে ভাল দেখায় না,negative
সে আমাকে সব দেখায়,positive
সে আমাকে কিছু দেখায় না কি চায় সে,negative
তাকে শুধু দেখায় ভয় দেখানো যাবে,negative
একমাত্র তুমি তাকে বুঝাতে পারবে,positive
তুমি পারবে তাকে বুঝাতে,positive
কেউ তাকে বুঝাতে পারবে না,negative
সবাই বুঝাতে চেষ্টা করলো কিন্তু তাও তুমি বুঝতে চাইছো না,negative
কেউ বুঝাতে পারলে হতো নয়তো ভাল হবে না,negative
সবাই তার জন্য দোয়া করে,positive
কারো দোয়া দিয়ে কিছু হচ্ছে না,negative
সবার দোয়া কাজে দিয়েছে,positive
কেউ আমার জন্য দোয়া করে না,negative
দোয়া করে লাভ হবে না যা খারাপ হওয়ার হয়ে গেছে,negative
সব লোকেরা তাকে পছন্দ করে,positive
লোকেরা তাকে দেখতে ইচ্ছুক,positive
লোকেরা তাকে পছন্দ করে না,negative
সব লোকেরা সুখি হতে চায়,positive
কোন লোকেরা এমন কথা বলে,negative
তোমাকে বুঝতে পারলে ভাল হতো,positive
তুমি সাথে থাকলে তার কাজটি ভাল হতো,positive
তুমি থাকলে কিছু হতো না,negative
তুমি থাকলে ভাল হতো,positive
তুমি না থাকলে ভাল হতো তাহলে এতো কিছু খারাপ হতো না,negative
সাথে গেলে ভাল লাগবে,positive
তার কাছে গেলে কষ্ট পাবে,negative
তুমি গেলে খুশি হবো,positive
কেনো গেলে,negative
তার সব কষ্ট মিটে গেছে,positive
সে তার সাথে গেছে,positive
সেখানে কষ্ট পেতে গেছে,negative
সে গেছে তাই ভাল লাগছে,positive
সে মরতে গেছে,negative
তোমার ভালবাসা দেখে চোখে পানি চলে আসলো,positive
তোমার চোখে পানি দেখতে চাই না,positive
চোখের পানি কি মুছতে দিবে,positive
